Year,DOY,Mon,Day,RAIN,Tmax,Tmin,RH,WIND,SRAD,SRAD00,SRAD03,SRAD06,SRAD09,SRAD12,SRAD15,SRAD18,SRAD20
2018,141,5,21,1.76,34.56,25.20,77.22,2.29,12.46,0.0000,0.0000,0.4200,3.2900,4.9700,3.4300,0.3500,0.0000
2018,142,5,22,9.59,33.72,25.69,79.21,2.36,13.24,0.0000,0.0000,0.4463,3.4960,5.2811,3.6447,0.3719,0.0000
2018,143,5,23,24.26,30.69,26.16,88.04,2.21,6.40,0.0000,0.0000,0.2157,1.6899,2.5528,1.7618,0.1798,0.0000
2018,144,5,24,6.23,30.78,25.90,85.63,2.36,10.67,0.0000,0.0000,0.3597,2.8174,4.2560,2.9372,0.2997,0.0000
2018,145,5,25,2.57,32.48,25.84,84.28,2.71,18.85,0.0000,0.0000,0.6354,4.9772,7.5188,5.1890,0.5295,0.0000
2018,146,5,26,3.02,32.57,26.43,84.20,2.34,21.79,0.0000,0.0000,0.7345,5.7535,8.6915,5.9984,0.6121,0.0000
2018,147,5,27,0.88,32.44,26.02,84.02,2.08,23.44,0.0000,0.0000,0.7901,6.1892,9.3496,6.4526,0.6585,0.0000
2018,148,5,28,0.10,33.87,25.86,80.26,2.07,22.27,0.0000,0.0000,0.7507,5.8803,8.8829,6.1305,0.6256,0.0000
2018,149,5,29,1.53,34.57,25.49,75.75,1.47,21.72,0.0000,0.0000,0.7321,5.7351,8.6636,5.9791,0.6102,0.0000
2018,150,5,30,7.69,35.39,25.65,72.69,1.44,20.70,0.0000,0.0000,0.6977,5.4657,8.2567,5.6983,0.5815,0.0000
2018,151,5,31,10.02,32.73,26.65,84.94,2.37,9.51,0.0000,0.0000,0.3206,2.5111,3.7933,2.6179,0.2672,0.0000
2018,152,6,1,20.42,29.56,25.22,91.70,1.92,16.65,0.0000,0.0000,0.6167,4.5633,6.4133,4.4399,0.6167,0.0000
2018,153,6,2,26.71,30.70,25.14,88.69,1.57,17.53,0.0000,0.0000,0.6493,4.8045,6.7522,4.6746,0.6493,0.0000
2018,154,6,3,8.80,32.04,25.50,86.27,1.61,11.32,0.0000,0.0000,0.4193,3.1025,4.3602,3.0186,0.4193,0.0000
2018,155,6,4,8.74,31.40,26.33,88.55,1.38,15.76,0.0000,0.0000,0.5838,4.3194,6.0704,4.2026,0.5838,0.0000
2018,156,6,5,10.11,31.52,25.05,84.65,1.53,17.10,0.0000,0.0000,0.6334,4.6867,6.5866,4.5599,0.6334,0.0000
2018,157,6,6,5.01,33.00,26.47,81.84,1.14,17.41,0.0000,0.0000,0.6449,4.7716,6.7060,4.6426,0.6449,0.0000
2018,158,6,7,6.00,33.21,26.47,82.59,1.22,19.98,0.0000,0.0000,0.7401,5.4760,7.6959,5.3279,0.7401,0.0000
2018,159,6,8,3.56,31.27,27.05,86.87,1.15,19.67,0.0000,0.0000,0.7286,5.3911,7.5765,5.2453,0.7286,0.0000
2018,160,6,9,24.44,32.48,27.00,83.32,0.87,13.11,0.0000,0.0000,0.4856,3.5931,5.0497,3.4960,0.4856,0.0000
2018,161,6,10,37.07,28.80,26.83,92.71,2.69,10.71,0.0000,0.0000,0.3967,2.9353,4.1253,2.8560,0.3967,0.0000
2018,162,6,11,36.97,31.01,27.23,91.36,2.92,9.57,0.0000,0.0000,0.3545,2.6229,3.6862,2.5520,0.3545,0.0000
2018,163,6,12,47.21,30.31,27.33,93.03,2.95,14.40,0.0000,0.0000,0.5334,3.9467,5.5466,3.8400,0.5334,0.0000
2018,164,6,13,15.07,32.60,26.77,87.94,3.15,15.31,0.0000,0.0000,0.5671,4.1961,5.8971,4.0826,0.5671,0.0000
2018,165,6,14,7.46,32.49,27.28,88.53,2.72,22.31,0.0000,0.0000,0.8264,6.1146,8.5934,5.9493,0.8264,0.0000
2018,166,6,15,0.76,33.69,27.31,85.41,2.60,22.57,0.0000,0.0000,0.8360,6.1859,8.6935,6.0186,0.8360,0.0000
2018,167,6,16,4.34,33.27,26.93,85.32,2.15,19.82,0.0000,0.0000,0.7341,5.4322,7.6343,5.2853,0.7341,0.0000
2018,168,6,17,3.48,33.78,26.58,82.78,2.29,10.53,0.0000,0.0000,0.3900,2.8860,4.0560,2.8080,0.3900,0.0000
2018,169,6,18,2.93,33.24,26.17,85.76,1.77,23.44,0.0000,0.0000,0.8682,6.4243,9.0286,6.2506,0.8682,0.0000
2018,170,6,19,7.33,33.01,27.50,85.51,1.49,12.41,0.0000,0.0000,0.4597,3.4013,4.7801,3.3093,0.4597,0.0000
2018,171,6,20,9.10,31.20,27.31,89.99,1.59,14.38,0.0000,0.0000,0.5326,3.9412,5.5389,3.8346,0.5326,0.0000
2018,172,6,21,7.52,30.83,26.65,90.16,1.88,12.83,0.0000,0.0000,0.4752,3.5164,4.9419,3.4213,0.4752,0.0000
2018,173,6,22,1.52,30.62,26.33,89.63,1.94,17.26,0.0000,0.0000,0.6393,4.7305,6.6482,4.6026,0.6393,0.0000
2018,174,6,23,11.41,30.11,26.39,90.70,2.27,5.92,0.0000,0.0000,0.2193,1.6225,2.2803,1.5786,0.2193,0.0000
2018,175,6,24,34.47,28.73,26.55,93.92,2.26,5.01,0.0000,0.0000,0.1856,1.3731,1.9298,1.3360,0.1856,0.0000
2018,176,6,25,17.10,30.11,26.83,92.46,2.34,2.98,0.0000,0.0000,0.1104,0.8167,1.1478,0.7947,0.1104,0.0000
2018,177,6,26,36.87,29.94,25.95,88.94,1.61,16.69,0.0000,0.0000,0.6182,4.5743,6.4287,4.4506,0.6182,0.0000
2018,178,6,27,13.71,30.95,25.63,90.78,3.09,14.36,0.0000,0.0000,0.5319,3.9357,5.5312,3.8293,0.5319,0.0000
2018,179,6,28,12.25,30.03,25.54,90.84,2.91,16.42,0.0000,0.0000,0.6082,4.5003,6.3247,4.3786,0.6082,0.0000
2018,180,6,29,4.03,31.70,25.62,87.46,2.11,12.20,0.0000,0.0000,0.4519,3.3437,4.6992,3.2533,0.4519,0.0000
2018,181,6,30,2.05,31.63,25.85,86.96,2.83,11.57,0.0000,0.0000,0.4286,3.1710,4.4565,3.0853,0.4286,0.0000
2018,182,7,1,7.57,31.09,26.68,89.05,2.74,15.40,0.0000,0.0000,0.4889,4.1555,5.8666,4.2778,0.6112,0.0000
2018,183,7,2,5.69,31.33,26.41,89.18,2.92,15.33,0.0000,0.0000,0.4867,4.1366,5.8400,4.2584,0.6084,0.0000
2018,184,7,3,52.19,30.11,26.64,91.72,3.25,3.60,0.0000,0.0000,0.1143,0.9714,1.3714,1.0000,0.1429,0.0000
2018,185,7,4,29.93,29.84,26.42,92.61,2.93,5.08,0.0000,0.0000,0.1613,1.3708,1.9352,1.4111,0.2016,0.0000
2018,186,7,5,8.84,32.47,26.00,85.66,1.88,10.40,0.0000,0.0000,0.3302,2.8063,3.9619,2.8889,0.4127,0.0000
2018,187,7,6,10.62,33.21,26.55,85.52,1.48,20.09,0.0000,0.0000,0.6378,5.4211,7.6533,5.5806,0.7973,0.0000
2018,188,7,7,0.87,32.57,26.60,87.15,2.02,20.31,0.0000,0.0000,0.6448,5.4804,7.7371,5.6417,0.8060,0.0000
2018,189,7,8,2.59,31.81,26.71,88.65,2.59,16.26,0.0000,0.0000,0.5162,4.3876,6.1942,4.5167,0.6453,0.0000
2018,190,7,9,8.03,32.37,26.47,87.40,2.55,16.35,0.0000,0.0000,0.5190,4.4119,6.2285,4.5417,0.6489,0.0000
2018,191,7,10,21.41,32.05,26.80,89.73,2.38,14.54,0.0000,0.0000,0.4616,3.9235,5.5390,4.0389,0.5770,0.0000
2018,192,7,11,4.89,31.76,26.48,88.49,1.99,17.35,0.0000,0.0000,0.5508,4.6817,6.6095,4.8195,0.6886,0.0000
2018,193,7,12,5.56,31.61,26.67,88.87,1.67,15.79,0.0000,0.0000,0.5013,4.2608,6.0152,4.3861,0.6266,0.0000
2018,194,7,13,3.69,30.86,26.83,90.63,1.79,17.53,0.0000,0.0000,0.5565,4.7303,6.6780,4.8695,0.6957,0.0000
2018,195,7,14,4.46,31.43,26.55,90.30,2.17,18.11,0.0000,0.0000,0.5749,4.8868,6.8990,5.0306,0.7187,0.0000
2018,196,7,15,11.78,32.33,26.57,89.71,2.77,16.81,0.0000,0.0000,0.5336,4.5360,6.4038,4.6695,0.6671,0.0000
2018,197,7,16,12.16,32.42,26.58,88.11,3.03,17.37,0.0000,0.0000,0.5514,4.6871,6.6171,4.8250,0.6894,0.0000
2018,198,7,17,15.40,32.44,26.63,87.80,2.98,3.28,0.0000,0.0000,0.1041,0.8851,1.2495,0.9111,0.1302,0.0000
2018,199,7,18,5.44,33.16,26.68,86.45,1.97,18.60,0.0000,0.0000,0.5905,5.0190,7.0857,5.1667,0.7382,0.0000
2018,200,7,19,1.32,34.02,27.13,83.80,1.34,24.59,0.0000,0.0000,0.7806,6.6353,9.3675,6.8306,0.9759,0.0000
2018,201,7,20,6.39,33.24,27.17,87.10,1.74,18.09,0.0000,0.0000,0.5743,4.8814,6.8914,5.0250,0.7179,0.0000
2018,202,7,21,12.65,31.71,27.02,90.18,3.95,10.85,0.0000,0.0000,0.3444,2.9278,4.1333,3.0139,0.4306,0.0000
2018,203,7,22,43.36,30.36,26.85,91.35,4.41,14.19,0.0000,0.0000,0.4505,3.8290,5.4057,3.9417,0.5631,0.0000
2018,204,7,23,30.95,31.48,26.53,89.38,2.68,6.90,0.0000,0.0000,0.2190,1.8619,2.6285,1.9167,0.2738,0.0000
2018,205,7,24,22.72,31.12,26.44,90.73,1.68,4.95,0.0000,0.0000,0.1571,1.3357,1.8857,1.3750,0.1964,0.0000
2018,206,7,25,43.21,29.23,26.37,94.01,2.00,3.88,0.0000,0.0000,0.1232,1.0470,1.4781,1.0778,0.1540,0.0000
2018,207,7,26,52.69,28.47,26.11,94.83,2.30,2.53,0.0000,0.0000,0.0803,0.6827,0.9638,0.7028,0.1004,0.0000
2018,208,7,27,40.76,29.49,26.11,93.41,2.49,10.61,0.0000,0.0000,0.3368,2.8630,4.0419,2.9472,0.4211,0.0000
2018,209,7,28,35.34,30.77,25.77,91.19,2.18,9.21,0.0000,0.0000,0.2924,2.4852,3.5085,2.5584,0.3655,0.0000
2018,210,7,29,52.37,30.42,26.20,91.99,2.31,10.66,0.0000,0.0000,0.3384,2.8765,4.0609,2.9611,0.4231,0.0000
2018,211,7,30,10.64,30.94,25.84,91.13,2.30,12.93,0.0000,0.0000,0.4105,3.4890,4.9257,3.5917,0.5131,0.0000
2018,212,7,31,28.00,30.83,25.65,89.65,1.50,14.91,0.0000,0.0000,0.4733,4.0233,5.6800,4.1417,0.5917,0.0000
2018,213,8,1,36.59,29.23,25.87,92.10,2.95,5.46,0.0000,0.0000,0.1300,1.5167,2.0800,1.5600,0.1733,0.0000
2018,214,8,2,8.96,29.12,25.84,90.09,2.97,9.53,0.0000,0.0000,0.2269,2.6472,3.6304,2.7228,0.3025,0.0000
2018,215,8,3,7.77,30.75,25.98,89.99,2.24,9.58,0.0000,0.0000,0.2281,2.6611,3.6495,2.7371,0.3041,0.0000
2018,216,8,4,6.20,32.02,25.94,86.80,1.63,18.36,0.0000,0.0000,0.4372,5.1000,6.9942,5.2457,0.5829,0.0000
2018,217,8,5,9.04,32.03,26.53,88.73,0.88,14.18,0.0000,0.0000,0.3377,3.9389,5.4019,4.0514,0.4502,0.0000
2018,218,8,6,15.79,29.08,26.38,93.88,2.10,11.92,0.0000,0.0000,0.2839,3.3111,4.5409,3.4057,0.3784,0.0000
2018,219,8,7,2.88,31.13,26.24,90.95,2.70,17.51,0.0000,0.0000,0.4170,4.8639,6.6704,5.0028,0.5559,0.0000
2018,220,8,8,3.67,31.19,25.76,88.86,2.42,19.21,0.0000,0.0000,0.4575,5.3361,7.3180,5.4885,0.6098,0.0000
2018,221,8,9,3.39,31.68,25.66,87.35,1.80,17.48,0.0000,0.0000,0.4163,4.8556,6.6590,4.9942,0.5549,0.0000
2018,222,8,10,2.96,32.69,25.65,85.78,1.37,21.20,0.0000,0.0000,0.5048,5.8889,8.0761,6.0571,0.6730,0.0000
2018,223,8,11,0.20,31.66,26.22,88.47,1.67,21.43,0.0000,0.0000,0.5103,5.9528,8.1637,6.1228,0.6803,0.0000
2018,224,8,12,4.45,32.54,26.39,86.89,1.55,20.53,0.0000,0.0000,0.4889,5.7028,7.8209,5.8657,0.6517,0.0000
2018,225,8,13,3.93,31.89,26.47,88.13,1.79,16.11,0.0000,0.0000,0.3836,4.4750,6.1371,4.6028,0.5114,0.0000
2018,226,8,14,4.47,31.15,26.38,90.02,2.03,18.14,0.0000,0.0000,0.4320,5.0389,6.9104,5.1828,0.5759,0.0000
2018,227,8,15,4.55,31.47,26.74,89.31,3.22,13.78,0.0000,0.0000,0.3281,3.8278,5.2495,3.9371,0.4375,0.0000
2018,228,8,16,6.09,32.20,26.42,88.25,2.60,17.10,0.0000,0.0000,0.4072,4.7500,6.5142,4.8857,0.5429,0.0000
2018,229,8,17,3.99,30.83,25.78,87.80,1.27,17.92,0.0000,0.0000,0.4267,4.9778,6.8266,5.1200,0.5689,0.0000
2018,230,8,18,1.37,31.58,26.63,87.03,1.04,19.76,0.0000,0.0000,0.4706,5.4889,7.5276,5.6457,0.6273,0.0000
2018,231,8,19,18.65,29.99,26.22,93.05,1.35,4.25,0.0000,0.0000,0.1012,1.1806,1.6190,1.2143,0.1349,0.0000
2018,232,8,20,11.06,32.02,26.24,90.64,2.76,11.26,0.0000,0.0000,0.2681,3.1278,4.2895,3.2171,0.3575,0.0000
2018,233,8,21,7.49,31.96,25.96,89.33,1.86,8.15,0.0000,0.0000,0.1941,2.2639,3.1047,2.3286,0.2587,0.0000
2018,234,8,22,23.58,32.22,26.42,87.64,1.36,17.80,0.0000,0.0000,0.4239,4.9445,6.7809,5.0857,0.5651,0.0000
2018,235,8,23,35.45,30.08,26.60,92.13,1.42,16.71,0.0000,0.0000,0.3979,4.6417,6.3657,4.7742,0.5305,0.0000
2018,236,8,24,8.25,30.07,26.37,93.10,1.80,11.89,0.0000,0.0000,0.2831,3.3028,4.5295,3.3971,0.3775,0.0000
2018,237,8,25,11.60,32.04,26.13,90.12,1.66,18.37,0.0000,0.0000,0.4375,5.1028,6.9980,5.2485,0.5832,0.0000
2018,238,8,26,7.06,31.90,25.76,88.84,1.95,18.36,0.0000,0.0000,0.4372,5.1000,6.9942,5.2457,0.5829,0.0000
2018,239,8,27,4.50,31.24,26.41,91.05,2.51,16.45,0.0000,0.0000,0.3917,4.5695,6.2666,4.7000,0.5222,0.0000
2018,240,8,28,7.43,31.32,26.38,90.86,2.12,16.55,0.0000,0.0000,0.3941,4.5973,6.3047,4.7285,0.5254,0.0000
