,time,day,year,layer,phi_sn,phi_at,phi_ws,phi_e,T_w_t_1,H_t_1,phi_c,phi_net,H_t,T_w_t
"1",0,8,2017,1,0,1133.10215118153,2094.26278179031,22.1701794560607,46.424614532293,98145.8062057545,121.81929726771,-1105.15010733255,97040.656098422,45.9018599723511
"1",3,8,2017,1,0,1068.73696998261,2080.59333432843,18.6003357369095,45.9018599723511,97040.656098422,131.216380929407,-1161.67308101214,95878.9830174099,45.3523690966486
"1",6,8,2017,1,-76.2084736784686,1027.3011138648,2066.29701353543,16.498137695912,45.3523690966486,95878.9830174099,136.681569398635,-1268.38408044365,94610.5989369663,44.7524021261797
"1",9,8,2017,1,3040.45299751313,1089.07266510831,2050.7717102415,19.6878315183314,44.7524021261797,94610.5989369663,122.643803479545,1936.42231738206,96547.0212543484,45.6683624013211
"1",12,8,2017,1,6560.83783108394,1230.46195068714,2074.50930225444,28.2928569891337,45.6683624013211,96547.0212543484,102.09128956687,5586.40633296064,102133.427587309,48.3108264112937
"1",15,8,2017,1,3967.88858491277,1302.26061162354,2144.14576783585,33.3806445122637,48.3108264112937,102133.427587309,101.721829062948,2990.90095512524,105124.328542434,49.7255727903174
"1",18,8,2017,1,-152.416947356937,1251.14024007813,2182.14114554096,29.7077198097356,49.7255727903174,105124.328542434,115.823644974653,-1228.94921760416,103895.37932483,49.144259172215
"1",21,8,2017,1,0,1181.72083308706,2166.46839978017,25.1173808880737,49.144259172215,103895.37932483,124.881861008473,-1134.74680858966,102760.63251624,48.6075048755508
"1",0,9,2017,1,0,1134.60616033796,2152.07212134709,24.177012086301,48.6075048755508,102760.63251624,142.029866995599,-1183.67284009104,101576.959676149,48.0476077443541
"1",3,9,2017,1,0,1070.66817829964,2137.13170783239,20.3143684240183,48.0476077443541,101576.959676149,151.967012424915,-1238.74491038168,100338.214765767,47.4616605990655
"1",6,9,2017,1,-73.6217447658173,998.500566062589,2121.57961492361,16.4295850519908,47.4616605990655,100338.214765767,164.168440367482,-1377.29881904631,98960.9159467207,46.810175128194
"1",9,9,2017,1,3116.42953322095,1068.42269973532,2104.38783718308,20.1859745760078,46.810175128194,98960.9159467207,146.751092632639,1913.52732856455,100874.443275285,47.7153056891411
"1",12,9,2017,1,6720.00791519276,1230.40695366729,2128.30135650297,30.7280225329376,47.7153056891411,100874.443275285,120.275569348146,5671.10992047599,106545.553195761,50.3978359184654
"1",15,9,2017,1,4065.90892951397,1313.61436464989,2200.37183405239,37.1815959692374,50.3978359184654,106545.553195761,118.124210381914,3023.84565376031,109569.398849521,51.8281656931954
"1",18,9,2017,1,-147.243489531635,1254.30842038846,2239.53993858813,32.5082544361045,51.8281656931954,109569.398849521,134.880302461591,-1299.863564629,108269.535284892,51.2133083980607
"1",21,9,2017,1,0,1174.27573681807,2222.6391787117,26.7771920202068,51.2133083980607,108269.535284892,146.499337136363,-1221.6399710502,107047.895313842,50.6354521763252
"1",0,10,2017,1,0,1120.30393836349,2206.84284472526,19.5055593931978,50.6354521763252,107047.895313842,129.092652240266,-1235.13711799524,105812.758195847,50.0512115774224
"1",3,10,2017,1,0,1047.533134,2190.95773726324,15.9332652247857,50.0512115774224,105812.758195847,138.94608990415,-1298.30395839217,104514.454237455,49.4370920022289
"1",6,10,2017,1,-74.5573326817467,1028.62497980498,2174.35284958297,15.0752538357245,49.4370920022289,104514.454237455,139.84738060793,-1375.20783690339,103139.246400552,48.7865956010258
"1",9,10,2017,1,2805.95265925632,1096.22011326481,2156.86750987301,18.2753531546982,48.7865956010258,103139.246400552,125.926911853901,1601.10299763952,104740.349398192,49.5439442067941
"1",12,10,2017,1,6059.3160867056,1251.99632072148,2177.23517020567,27.0934363479844,49.5439442067941,104740.349398192,104.597181665216,5002.38661920821,109742.7360174,51.9101570845141
"1",15,10,2017,1,3662.92296207005,1331.61715063721,2241.8009212408,32.4056766969335,51.9101570845141,109742.7360174,102.251206153915,2618.08230861561,112360.818326016,53.1485539828643
"1",18,10,2017,1,-149.114665363493,1274.89349224754,2276.15942053039,28.5643185917464,53.1485539828643,112360.818326016,115.081297432363,-1294.02620967045,111066.792116346,52.536457854654
"1",21,10,2017,1,0,1198.13759458788,2259.12823282588,23.8121352980642,52.536457854654,111066.792116346,124.157517828378,-1208.96029136445,109857.831824982,51.9645993343443
"1",0,11,2017,1,0,1146.23180598992,2243.30315826763,25.0277942031519,51.9645993343443,109857.831824982,155.846982893339,-1277.94612937421,108579.885695608,51.3601093541527
"1",3,11,2017,1,0,1076.0495628421,2226.66561599688,20.7110125234882,51.3601093541527,108579.885695608,166.759168437764,-1338.08623411603,107241.799461492,50.7271720944641
"1",6,11,2017,1,-75.3119690323895,1028.62685618846,2209.34447000482,18.0668505800304,50.7271720944641,107241.799461492,173.530135839266,-1447.62656926805,105794.172892224,50.0424204166993
"1",9,11,2017,1,3198.32393141542,1088.9450993518,2190.71936840729,21.4677618580128,50.0424204166993,105794.172892224,158.129270040978,1916.95263046093,107711.125522685,50.9491712029656
"1",12,11,2017,1,6896.33821941943,1226.75622282266,2215.40821344072,30.5897141824676,50.9491712029656,107711.125522685,136.307533436819,5740.78898118209,113451.914503867,53.6646607981491
"1",15,11,2017,1,4172.69242950986,1296.61568501914,2290.59443962742,35.9554926962335,53.6646607981491,113451.914503867,136.541614439056,3006.21656776629,116458.131071633,55.0866517191524
"1",18,11,2017,1,-150.623938064779,1246.88401591079,2330.72146048484,32.0836618517279,55.0866517191524,116458.131071633,151.744033932241,-1418.28907842279,115039.84199321,54.415777167232
"1",21,11,2017,1,0,1179.28608191625,2311.72498991005,27.2311713656808,54.415777167232,115039.84199321,160.911547139352,-1320.58162649883,113719.260366711,53.7911198809072
